link	Song Title	Artists	Genres	Difficulty	List	Added
clocks	Clocks	Coldplay	Alternative Rock, Indie	&starf;	&#9788;	2024
color-everywhere	Color Everywhere	Youth Asylum	Boyband, R&B	&starf;&starf;&starf;	JC	2024
color-of-love	Color of Love	Boyz II Men	R&B	&starf;&starf;&starf;	JC	2025
coming-out-of-our-shells	Coming Out of Our Shells	Teenage Mutant Ninja Turtles	Rock	&starf;&starf;	-	2023
complicated	Complicated	Avril Lavigne	Punk, Rock, Pop	&starf;	JC	2025
cool-down	Cool Down	Kolohe Kai	Jawaiian, Reggae	&starf;	&#9788;	2023
count-on-me	Count On Me	Bruno Mars	Folk Tropical	&starf;	JC	2023
count-on-us	Count On Us	Teenage Mutant Ninja Turtles	Rock	&starf;	-	2023
crazy	Crazy	Gnarls Barkley	Funk, Pop	&starf;	&#9788;	2025
creep	Creep	Radiohead	Rock	&starf;	&#9788;	2023
cupid	Cupid	112	R&B	&starf;	JC	2026
dahil-sa-iyo	Dahil Sa Iyo	Mike Velarde Jr., Rogelio de la Rosa	Kundiman, Filipino Folk, Jazz, Tagalog	&starf;&starf;&starf;&starf;	JC	2023
damn-i-love-you	Damn I Love You	JC Reyes	Ballad	&starf;&starf;	JC	2022
damn-i-love-you-r	Damn I Love You (Reggae)	JC Reyes	Reggae	&starf;	JC	2025
dance-monkey	Dance Monkey	Tones and I	Electropop	&starf;	&#9788;	2024
deck-the-halls	Deck the Halls	Traditional	Christmas Carol	&starf;	&#10053;	2023
die-with-a-smile	Die With A Smile	Bruno Mars, Lady Gaga	Slow Rock, Ballad	&starf;&starf;	&#9788;	2025
differences	Differences	Ginuwine	R&B	&starf;&starf;	JC	2026
do-you-hear-what-i-hear	Do You Hear What I Hear	Bing Crosby	Christmas Carol, Hymn	&starf;&starf;&starf;	&#10053;	2023
drinking-problem	Drinking Problem	Ekolu, Midland	Jawaiian, Reggae, Country	&starf;	JC	2022
drop-baby-drop	Drop Baby Drop	Mana'o Company	Jawaiian, Reggae	&starf;	&#9788;	2022
ehu-girl	Ehu Girl	Kolohe Kai	Jawaiian, Reggae	&starf;	T	2023
end-of-the-road	End of the Road	Boyz II Men	R&B	&starf;&starf;	JC	2025
everybody-talks	Everybody Talks	Neon Trees	Rock, Punk	&starf;	&#9788;	2024
everything	Everything	Michael Buble	Pop	&starf;	JC	2023
everywhere	Everywhere	Ekolu, Fleetwood Mac	Jawaiian, Reggae	&starf;	&#9788;	2023
fallin-for-you	Fallin' For You	Colbie Caillat	Folk Pop	&starf;	JC	2023
far-from-you	Far From You	Natalie Prass	Ballad	&starf;&starf;	JC	2023
fast-car	Fast Car	Tracy Chapman, Luke Combs	Country	&starf;	-	2024
feel-it-still	Feel It Still	Portugal the Man	Funk, Indie, Pop	&starf;	&#9788;	2024
feliz-navidad-maligayang-pasko	Feliz Navidad, Maligayang Pasko	José Feliciano	Christmas, Latin	&starf;	&#10053;	2023
first-cut-is-the-deepest	First Cut Is The Deepest	Cat Stevens, Rod Stewart	Folk	&starf;	&#9788;	2024
first-noel	First Noel	Traditional	Christmas Carol, Hymn	&starf;	&#10053;	2023
fly-me-to-the-moon	Fly Me to the Moon	Frank Sinatra	Jazz	&starf;&starf;&starf;	JC	2023
